CONTROLE CULTURAL;"O controle cultural será baseado, principalmente, nos conceitos ecológicos e biológicos das pragas. Por isso, é importante que você conheça a dinâmica da sua área antes mesmo de decidir por esse tipo de controle.

Embora seja muito importante realizar o controle cultural, mesmo em condições em que você ainda não sabe se a praga realmente estará na sua cultura, é fundamental que você conheça o histórico das pragas que acometeram os plantios anteriores.

Isso é recomendado que seja feito pelo fato de que algumas práticas desse método exigem mais mão-de-obra e podem gerar custos desnecessários.

Ao decidir por este método, priorize as práticas mais essenciais visando o manejo correto.";
Época de plantio e de colheita;"se for possível utilizar cultivares precoces ou tardias para evitar ataque de alguma praga;";
Aração do solo;"para exposição de algumas pragas que persistem no solo após plantio, como larvas e pupas;";
Adubação e irrigação;uma planta quando bem equilibrada nutricionalmente terá maiores condições de tolerar o ataque de pragas e doenças.;
Rotação de culturas;"para o controle de pragas, muitas vezes é necessário realizar a rotação de culturas que não sejam hospedeiras das mesmas pragas;";
Destruição de restos de cultura;"muitas pragas se aproveitam dos restos da cultura anterior para se abrigarem e atacam a cultura que será implementada;";
Cultura no limpo;as plantas que ficam próximas à cultura devem ser retiradas para não serem abrigo ou hospedeiros alternativos.;
;;
CONTROLE BIOLÓGICO;Quando se trata da utilização do método de controle biológico, existe um leque muito grande de possibilidades, embora seja um setor que vem crescendo.;
Controle biológico natural;Como o próprio nome diz, é um controle que ocorre naturalmente no ambiente. Os inimigos naturais presentes na área conseguem controlar as pragas, o que equilibra o ecossistema e mantém as pragas abaixo do nível de dano econômico. Esse tipo é possível de ser feito se houver uma atenção à conservação dos organismos benéficos, principalmente se tratando do uso em conjuntos com pesticidas.;
Controle biológico clássico;"Antigamente, para controle de pragas exóticas, utilizava-se basicamente apenas o controle biológico clássico.

Esse controle consiste na importação de inimigos naturais das pragas oriundas de outras regiões que estão atacando as culturas.

Muitas vezes, esse tipo foi visto como muito oneroso, porque exige que os inimigos naturais fiquem na área e se multipliquem.";
