Cód.,Abacate,,Abacaxi*,,Açaí,,Alfafa fenada,,Algodão arbóreo (em caroço),,Algodão herbáceo (em caroço),,Alho,,Amendoim (em casca),,Arroz (em casca),,Aveia (em grão),,Azeitona,,Banana (cacho),,Batata-doce,,Batata-inglesa,,Borracha (látex coagulado),,Borracha (látex líquido),,Cacau (em amêndoa),,Café (em grão) Total,,Café (em grão) Arábica,,Café (em grão) Canephora,,Caju,,Cana-de-açúcar,,Cana para forragem,,Caqui,,Castanha de caju,,Cebola,,Centeio (em grão),,Cevada (em grão),,Chá-da-índia (folha verde),,Coco-da-baía*,,Dendê (cacho de coco),,Erva-mate (folha verde),,Ervilha (em grão),,Fava (em grão),,Feijão (em grão),,Figo,,Fumo (em folha),,Girassol (em grão),,Goiaba,,Guaraná (semente),,Juta (fibra),,Laranja,,Limão,,Linho (semente),,Maçã,,Malva (fibra),,Mamão,,Mamona (baga),,Mandioca,,Manga,,Maracujá,,Marmelo,,Melancia,,Melão,,Milho (em grão),,Noz (fruto seco),,Palmito,,Pera,,Pêssego,,Pimenta-do-reino,,Rami (fibra),,Sisal ou agave (fibra),,Soja (em grão),,Sorgo (em grão),,Tangerina,,Tomate,,Trigo (em grão),,Triticale (em grão),,Tungue (fruto seco),,Urucum (semente),,Uva,ano
35001,-,Hectares,19,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,2485,Hectares,-,Hectares,-,Hectares,3680,Hectares,...,Hectares,-,Hectares,46,Hectares,46,Hectares,-,Hectares,...,Hectares,67131,Hectares,...,Hectares,5,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,43,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,17,Hectares,-,Hectares,-,Hectares,7119,Hectares,1975,Hectares,-,Hectares,-,Hectares,-,Hectares,12,Hectares,-,Hectares,238,Hectares,195,Hectares,6,Hectares,-,Hectares,2,Hectares,-,Hectares,1881,Hectares,-,Hectares,11,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,1950,Hectares,-,Hectares,520,Hectares,147,Hectares,-,Hectares,-,Hectares,-,Hectares,31,Hectares,756,2020
35002,-,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,1617,Hectares,-,Hectares,-,Hectares,5483,Hectares,...,Hectares,-,Hectares,120,Hectares,120,Hectares,-,Hectares,...,Hectares,74050,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,4865,Hectares,694,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,3970,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,3090,Hectares,1170,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,2020
35003,3,Hectares,1,Hectares,-,Hectares,...,Hectares,-,Hectares,2781,Hectares,-,Hectares,262,Hectares,-,Hectares,-,Hectares,-,Hectares,572,Hectares,-,Hectares,-,Hectares,9170,Hectares,...,Hectares,-,Hectares,143,Hectares,143,Hectares,-,Hectares,...,Hectares,95127,Hectares,...,Hectares,1,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,14,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,1186,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,4091,Hectares,92,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,62,Hectares,30,Hectares,-,Hectares,-,Hectares,5,Hectares,-,Hectares,2887,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,7696,Hectares,151,Hectares,98,Hectares,64,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,21,2020
35004,202,Hectares,88,Hectares,-,Hectares,...,Hectares,-,Hectares,298,Hectares,-,Hectares,12453,Hectares,1,Hectares,-,Hectares,-,Hectares,273,Hectares,56,Hectares,-,Hectares,23996,Hectares,...,Hectares,-,Hectares,245,Hectares,245,Hectares,-,Hectares,...,Hectares,416055,Hectares,...,Hectares,-,Hectares,-,Hectares,4,Hectares,-,Hectares,-,Hectares,-,Hectares,125,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,197,Hectares,-,Hectares,-,Hectares,46,Hectares,32,Hectares,-,Hectares,-,Hectares,23214,Hectares,1042,Hectares,-,Hectares,-,Hectares,-,Hectares,26,Hectares,-,Hectares,477,Hectares,279,Hectares,3,Hectares,-,Hectares,130,Hectares,-,Hectares,14643,Hectares,-,Hectares,14,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,24574,Hectares,405,Hectares,172,Hectares,328,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,3,2020
35005,65,Hectares,8,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,1474,Hectares,-,Hectares,-,Hectares,-,Hectares,34,Hectares,240,Hectares,-,Hectares,2289,Hectares,...,Hectares,-,Hectares,37,Hectares,37,Hectares,-,Hectares,...,Hectares,127097,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,12,Hectares,-,Hectares,-,Hectares,100,Hectares,139,Hectares,-,Hectares,-,Hectares,6722,Hectares,2716,Hectares,-,Hectares,-,Hectares,-,Hectares,2,Hectares,38,Hectares,134,Hectares,161,Hectares,15,Hectares,-,Hectares,-,Hectares,-,Hectares,924,Hectares,-,Hectares,51,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,3160,Hectares,-,Hectares,113,Hectares,1,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,1,2020
35006,-,Hectares,34,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,137,Hectares,-,Hectares,-,Hectares,-,Hectares,897,Hectares,-,Hectares,-,Hectares,1612,Hectares,...,Hectares,-,Hectares,3,Hectares,3,Hectares,-,Hectares,...,Hectares,56780,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,615,Hectares,13,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,16,Hectares,79,Hectares,-,Hectares,-,Hectares,52,Hectares,-,Hectares,2730,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,4030,Hectares,40,Hectares,-,Hectares,2,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,2020
35007,11,Hectares,8,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,3274,Hectares,-,Hectares,-,Hectares,-,Hectares,45,Hectares,-,Hectares,-,Hectares,8988,Hectares,...,Hectares,-,Hectares,59,Hectares,59,Hectares,-,Hectares,...,Hectares,65600,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,995,Hectares,44,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,40,Hectares,269,Hectares,-,Hectares,-,Hectares,6,Hectares,-,Hectares,2455,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,4535,Hectares,100,Hectares,98,Hectares,30,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,2020
35008,35,Hectares,1,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,4600,Hectares,-,Hectares,-,Hectares,-,Hectares,275,Hectares,6,Hectares,-,Hectares,1676,Hectares,...,Hectares,-,Hectares,35,Hectares,35,Hectares,-,Hectares,...,Hectares,116456,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,10,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,12,Hectares,-,Hectares,10,Hectares,-,Hectares,220,Hectares,-,Hectares,-,Hectares,5775,Hectares,8692,Hectares,-,Hectares,-,Hectares,-,Hectares,4,Hectares,8,Hectares,111,Hectares,328,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,3300,Hectares,-,Hectares,168,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,650,Hectares,2,Hectares,476,Hectares,18,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,2020
35009,2,Hectares,89,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,5200,Hectares,-,Hectares,-,Hectares,-,Hectares,91,Hectares,-,Hectares,-,Hectares,3490,Hectares,...,Hectares,-,Hectares,6,Hectares,6,Hectares,-,Hectares,...,Hectares,130320,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,40,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,50,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,21600,Hectares,42,Hectares,-,Hectares,-,Hectares,-,Hectares,2,Hectares,-,Hectares,89,Hectares,4,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,4540,Hectares,-,Hectares,85,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,7672,Hectares,250,Hectares,16,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,2020
35010,43,Hectares,-,Hectares,-,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,1705,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,400,Hectares,604,Hectares,...,Hectares,-,Hectares,1466,Hectares,1466,Hectares,-,Hectares,...,Hectares,335563,Hectares,...,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,5065,Hectares,-,Hectares,-,Hectares,-,Hectares,20,Hectares,-,Hectares,-,Hectares,6,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,35,Hectares,17,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,31981,Hectares,-,Hectares,2,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,77121,Hectares,6350,Hectares,16,Hectares,1641,Hectares,-,Hectares,-,Hectares,-,Hectares,-,Hectares,1,2020
